run,fitness,gap,time
1,428.9816,-19.04,648.13
2,428.9816,-19.04,645.44
3,428.9816,-19.04,661.72
4,428.9816,-19.04,608.47
5,428.9816,-19.04,651.68
6,428.9816,-19.04,623.33
7,428.9816,-19.04,646.00
8,428.8718,-19.07,602.98
9,428.9816,-19.04,663.66
10,428.8718,-19.07,604.91
11,428.9816,-19.04,600.13
12,429.5303,-18.94,586.19
13,428.9816,-19.04,649.25
14,428.8718,-19.07,604.25
15,428.9816,-19.04,595.06
16,428.8718,-19.07,607.79
17,429.5303,-18.94,607.30
18,428.8718,-19.07,597.22
19,429.5303,-18.94,588.48
20,429.5303,-18.94,596.82
